name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
Aegis	100	0	1	1	161	161	1	10	219	24	184	0	79	54	32568	69357	uow	uow			tow	tow	tow	xow	uow	0	7	2	3	1	6	2	flptow	invtow	invtowu	invtowu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	18	28	100		0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	2	0	xxx	xxx	0	0	1
Aerin Shield	100	0	1	1	36	36	0	0	50	22	100	0	20	10	1720	4356	pa4	pa4		304	pa3	spk	pa4	pa9	pae	0	7	2	4	1	8	2	flppa3	invpa4									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	4	0	0	0	1	0	4	10	100		0	3					1					1					1					1					1					1					1					1					1					1					1					1					1	2	2			1					1					1					1			0	0	0	xxx	xxx	0	0	1
Akaran Rondache	100	0	1	1	137	137	0	0	59	15	60	0	40	25	13648	8207	pa7	pa7		304	pa1	spk	pa2	pa7	pac	0	7	2	2	1	4	2	flppa1	invpa2									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	2	0	0	0	1	0	15	20	100		0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			0	0	0	xxx	xxx	0	0	1
Akaran Targe	100	0	1	1	125	125	0	0	44	10	40	0	35	21	10834	8207	pa6	pa6		304	pa1	spk	pa1	pa6	pab	0	7	2	2	1	4	2	flppa1	invpa1									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	1	0	0	0	1	0	12	16	100		0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			0	0	0	xxx	xxx	0	0	1
Alpha Helm	100	0	1	1	62	62	0	0	44	0	40	0	35	21	5434	8206	dr6	dr6			dr1	dr1	dr1	dr6	drb	0	0	2	2	1	4	1	flpdr1	invdr1									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	8	0	xxx	xxx	0	0	1
Ancient Armor	0	0	1	1	233	233	5	5	100	0	120	0	40	0	24622	38207	aar	aar			aar	aar	aar	xar	uar	0	1	2	3	1	6	1	flpaar	invaar	invaaru	invaaru	1	2	2	2	2	0	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1	1	1			1					1	2	3			1					1	1	3			1			8	8	0	ltp	xxx	0	0	1
Ancient Shield	100	0	1	1	172	172	0	0	124	25	110	0	74	50	13074	8207	pad	pad		304	pa3	spk	pa3	pa8	pad	0	7	2	4	1	8	2	flppa3	invpa3									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	3	0	0	0	1	0	10	82	100		0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			0	0	0	xxx	xxx	0	0	1
Ancient Shield	0	0	1	1	93	93	0	5	110	11	160	0	56	20	32558	42234	xts	xts			kit	kit	gts	xts	uts	0	7	2	4	1	8	2	flpgts	invgts	invgtsu	invgtsu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	12	16	100		0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			8	2	0	xxx	xxx	0	0	1
Antlers	100	0	1	1	24	24	0	0	24	0	40	0	16	7	944	2185	dr3	dr3			dr3	dr3	dr3	dr8	drd	0	0	2	2	1	4	1	flpdr3	invdr3									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					1					1					1					1					1					1					1					1	3	4			1					1					1					1					1					1					1					1					1			8	8	0	xxx	xxx	0	0	1
Archon Plate	100	0	1	1	524	524	1	0	103	0	120	0	84	58	105842	192719	utp	utp			ltp	ltp	ltp	xtp	utp	0	1	2	3	1	6	1	flpltp	invltp			2	0	1	1	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			7	8	0	xxx	xxx	0	0	1
