description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	output b	output c	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
2 rune 01 -> rune 02	1			100					2	"r01,qty=2"							r02																																																																																									0
2 rune 02 -> rune 03	1			100					2	"r02,qty=2"							r03																																																																																									0
2 rune 03 -> rune 04	1			100					2	"r03,qty=2"							r04																																																																																									0
2 rune 04 -> rune 05	1			100					2	"r04,qty=2"							r05																																																																																									0
2 rune 05 -> rune 06	1			100					2	"r05,qty=2"							r06																																																																																									0
2 rune 06 -> rune 07	1			100					2	"r06,qty=2"							r07																																																																																									0
2 rune 07 -> rune 08	1			100					2	"r07,qty=2"							r08																																																																																									0
2 rune 08 -> rune 09	1			100					2	"r08,qty=2"							r09																																																																																									0
2 rune 09 -> rune 10	1			100					2	"r09,qty=2"							r10																																																																																									0
2 rune 10 -> rune 11	1			100					2	"r10,qty=2"							r11																																																																																									0
2 rune 11 -> rune 12	1			100					2	"r11,qty=2"							r12																																																																																									0
2 rune 12 -> rune 13	1			100					2	"r12,qty=2"							r13																																																																																									0
2 rune 13 -> rune 14	1			100					2	"r13,qty=2"							r14																																																																																									0
2 rune 14 -> rune 15	1			100					2	"r14,qty=2"							r15																																																																																									0
2 rune 15 -> rune 16	1			100					2	"r15,qty=2"							r16																																																																																									0
2 rune 16 -> rune 17	1			100					2	"r16,qty=2"							r17																																																																																									0
2 rune 17 -> rune 18	1			100					2	"r17,qty=2"							r18																																																																																									0
2 rune 18 -> rune 19	1			100					2	"r18,qty=2"							r19																																																																																									0
2 rune 19 -> rune 20	1			100					2	"r19,qty=2"							r20																																																																																									0
2 rune 20 -> rune 21	1			100					2	"r20,qty=2"							r21																																																																																									0
2 rune 21 -> rune 22	1			100					2	"r21,qty=2"							r22																																																																																									0
2 rune 22 -> rune 23	1			100					2	"r22,qty=2"							r23																																																																																									0
2 rune 23 -> rune 24	1			100					2	"r23,qty=2"							r24																																																																																									0
2 rune 24 -> rune 25	1			100					2	"r24,qty=2"							r25																																																																																									0
2 rune 25 -> rune 26	1			100					2	"r25,qty=2"							r26																																																																																									0
2 rune 26 -> rune 27	1			100					2	"r26,qty=2"							r27																																																																																									0
2 rune 27 -> rune 28	1			100					2	"r27,qty=2"							r28																																																																																									0
2 rune 28 -> rune 29	1			100					2	"r28,qty=2"							r29																																																																																									0
2 rune 29 -> rune 30	1			100					2	"r29,qty=2"							r30																																																																																									0
2 rune 30 -> rune 31	1			100					2	"r30,qty=2"							r31																																																																																									0
2 rune 31 -> rune 32	1			100					2	"r31,qty=2"							r32																																																																																									0
2 rune 32 -> rune 33	1			100					2	"r32,qty=2"							r33																																																																																									0
–––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––																																																																																																										0
rune 02 -> 2 rune 1	1			100					1	r02							r01	r01																																																																																								0
rune 03 -> 2 rune 2	1			100					1	r03							r02	r02																																																																																								0
rune 04-> 2 rune 3	1			100					1	r04							r03	r03																																																																																								0
rune 05-> 2 rune 4	1			100					1	r05							r04	r04																																																																																								0
rune 06-> 2 rune 5	1			100					1	r06							r05	r05																																																																																								0
rune 07-> 2 rune 6	1			100					1	r07							r06	r06																																																																																								0
rune 08-> 2 rune 7	1			100					1	r08							r07	r07																																																																																								0
rune 09-> 2 rune 8	1			100					1	r09							r08	r08																																																																																								0
rune 10-> 2 rune 9	1			100					1	r10							r09	r09																																																																																								0
rune 11-> 2 rune 10	1			100					1	r11							r10	r10																																																																																								0
rune 12-> 2 rune 11	1			100					1	r12							r11	r11																																																																																								0
rune 13-> 2 rune 12	1			100					1	r13							r12	r12																																																																																								0
rune 14-> 2 rune 13	1			100					1	r14							r13	r13																																																																																								0
rune 15-> 2 rune 14	1			100					1	r15							r14	r14																																																																																								0
rune 16-> 2 rune 15	1			100					1	r16							r15	r15																																																																																								0
rune 17-> 2 rune 16	1			100					1	r17							r16	r16																																																																																								0
rune 18-> 2 rune 17	1			100					1	r18							r17	r17																																																																																								0
rune 19-> 2 rune 18	1			100					1	r19							r18	r18																																																																																								0
rune 20-> 2 rune 19	1			100					1	r20							r19	r19																																																																																								0
rune 21-> 2 rune 20	1			100					1	r21							r20	r20																																																																																								0
rune 22-> 2 rune 21	1			100					1	r22							r21	r21																																																																																								0
rune 23-> 2 rune 22	1			100					1	r23							r22	r22																																																																																								0
rune 24-> 2 rune 23	1			100					1	r24							r23	r23																																																																																								0
rune 25-> 2 rune 24	1			100					1	r25							r24	r24																																																																																								0
rune 26-> 2 rune 25	1			100					1	r26							r25	r25																																																																																								0
rune 27-> 2 rune 26	1			100					1	r27							r26	r26																																																																																								0
rune 28-> 2 rune 27	1			100					1	r28							r27	r27																																																																																								0
rune 29-> 2 rune 28	1			100					1	r29							r28	r28																																																																																								0
rune 30-> 2 rune 29	1			100					1	r30							r29	r29																																																																																								0
rune 31-> 2 rune 30	1			100					1	r31							r30	r30																																																																																								0
rune 32-> 2 rune 31	1			100					1	r32							r31	r31																																																																																								0
rune 33-> 2 rune 32	1			100					1	r33							r32	r32																																																																																								0
–––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––																																																																																																										0
sapphire + full helm -> hitpower helm	1			100					2	"fhl,upg"	gpb						"usetype,crf"				100		gethit-skill		44	5	4	thorns			7	7	ac-miss			50	50																																																																					0
sapphire + chain boots -> hitpower boots	1			100					2	"mbt,upg"	gpb						"usetype,crf"				100		gethit-skill		44	5	4	thorns			7	7	ac-hth			60	60																																																																					0
sapphire + chain gloves -> hitpower gloves	1			100					2	"mgl,upg"	gpb						"usetype,crf"				100		gethit-skill		44	5	4	thorns			7	7	knock			1	1																																																																					0
sapphire + heavy belt -> hitpower belt	1			100					2	"tbl,upg"	gpb						"usetype,crf"				100		gethit-skill		44	5	4	thorns			7	7	dmg-to-mana			10	10																																																																					0
sapphire + gothic shield -> hitpower shield	1			100					2	"gts,upg"	gpb						"usetype,crf"				100		gethit-skill		44	5	4	thorns			10	10	block			7	7																																																																					0
sapphire + field plate -> hitpower body	1			100					2	"fld,upg"	gpb						"usetype,crf"				100		gethit-skill		44	5	4	thorns			10	10	balance1			20	20																																																																					0
sapphire + amulet -> hitpower amulet	1			100					2	amu	gpb						"usetype,crf"				100		gethit-skill		44	5	4	thorns			10	10	howl			15	15																																																																					0
sapphire + ring -> hitpower ring	1			100					2	rin	gpb						"usetype,crf"				100		gethit-skill		44	5	4	thorns			6	6	dex			5	5																																																																					0
sapphire + blunt -> hitpower weapon	1			100					2	"blun,upg"	gpb						"usetype,crf"				100		gethit-skill		44	5	4	thorns			7	7	dmg%			60	60																																																																					0
ruby + helm -> blood helm	1			100					2	"hlm,upg"	gpr						"usetype,crf"				100		lifesteal			3	3	hp			20	20	deadly			10	10																																																																					0
ruby + light plated boots -> blood boots	1			100					2	"tbt,upg"	gpr						"usetype,crf"				100		lifesteal			3	3	hp			20	20	regen			10	10																																																																					0
ruby + heavy gloves -> blood gloves	1			100					2	"vgl,upg"	gpr						"usetype,crf"				100		lifesteal			3	3	hp			20	20	crush			10	10																																																																					0
ruby + belt -> blood belt	1			100					2	"mbl,upg"	gpr						"usetype,crf"				100		lifesteal			3	3	hp			20	20	openwounds			7	7																																																																					0
ruby + spiked shield -> blood shield	1			100					2	"spk,upg"	gpr						"usetype,crf"				100		lifesteal			3	3	hp			20	20	thorns			7	7																																																																					0
ruby + plate mail -> blood body	1			100					2	"plt,upg"	gpr						"usetype,crf"				100		lifesteal			3	3	hp			20	20	demon-heal			3	3																																																																					0
ruby + amulet -> blood amulet	1			100					2	amu	gpr						"usetype,crf"				100		lifesteal			4	4	hp			20	20	move1			10	10																																																																					0
ruby + ring -> blood ring	1			100					2	rin	gpr						"usetype,crf"				100		lifesteal			3	3	hp			20	20	str			5	5																																																																					0
ruby + axe -> blood weapon	1			100					2	"axe,upg"	gpr						"usetype,crf"				100		lifesteal			4	4	hp			20	20	dmg%			60	60																																																																					0
amethyst + mask -> caster helm	1			100					2	"msk,upg"	gpv						"usetype,crf"				100		regen-mana			10	10	mana			20	20	manasteal			4	4																																																																					0
amethyst + boots -> caster boots	1			100					2	"lbt,upg"	gpv						"usetype,crf"				100		regen-mana			10	10	mana			20	20	mana%			5	5																																																																					0
amethyst + leather gloves -> caster gloves	1			100					2	"lgl,upg"	gpv						"usetype,crf"				100		regen-mana			10	10	mana			20	20	mana-kill			3	3																																																																					0
amethyst + light belt -> caster belt	1			100					2	"vbl,upg"	gpv						"usetype,crf"				100		regen-mana			10	10	mana			20	20	cast1			7	7																																																																					0
amethyst + small shield -> caster shield	1			100					2	"sml,upg"	gpv						"usetype,crf"				100		regen-mana			10	10	mana			20	20	block			10	10																																																																					0
amethyst + light plate -> caster body	1			100					2	"ltp,upg"	gpv						"usetype,crf"				100		regen-mana			10	10	mana			20	20	mana-kill			3	3																																																																					0
amethyst + amulet -> caster amulet	1			100					2	amu	gpv						"usetype,crf"				100		regen-mana			10	10	mana			20	20	cast1			10	10																																																																					0
amethyst + ring -> caster ring	1			100					2	rin	gpv						"usetype,crf"				100		regen-mana			10	10	mana			20	20	enr			5	5																																																																					0
amethyst + rod -> caster weapon	1			100					2	"rod,upg"	gpv						"usetype,crf"				100		regen-mana			10	10	mana			20	20	mana%			5	5																																																																					0
emerald + crown -> safety helm	1			100					2	"crn,upg"	gpg						"usetype,crf"				100		red-dmg			4	4	red-mag			2	2	res-ltng			10	10	ac%			30	30																																																																0
emerald + plate boots -> safety boots	1			100					2	"hbt,upg"	gpg						"usetype,crf"				100		red-dmg			4	4	red-mag			2	2	res-fire			10	10	ac%			30	30																																																																0
emerald + gauntlets -> safety gloves	1			100					2	"hgl,upg"	gpg						"usetype,crf"				100		red-dmg			4	4	red-mag			2	2	res-cold			10	10	ac%			30	30																																																																0
emerald + sash -> safety belt	1			100					2	"lbl,upg"	gpg						"usetype,crf"				100		red-dmg			4	4	red-mag			2	2	res-pois			10	10	ac%			30	30																																																																0
emerald + kite shield -> safety shield	1			100					2	"kit,upg"	gpg						"usetype,crf"				100		red-dmg			4	4	red-mag			2	2	res-mag			10	10	ac%			30	30																																																																0
emerald + breastplate -> safety body	1			100					2	"brs,upg"	gpg						"usetype,crf"				100		red-dmg			4	4	red-mag			2	2	half-freeze			1	1	ac%			30	30																																																																0
emerald + amulet -> safety amulet	1			100					2	amu	gpg						"usetype,crf"				100		red-dmg			4	4	red-mag			2	2	block			7	7																																																																					0
emerald + ring -> safety ring	1			100					2	rin	gpg						"usetype,crf"				100		red-dmg			4	4	red-mag			2	2	vit			5	5																																																																					0
emerald + spear -> safety weapon	1			100					2	"spea,upg"	gpg						"usetype,crf"				100		red-dmg			4	4	red-mag			2	2	ac%			10	10																																																																					0
–––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––																																																																																																										0
key + socketed armor -> unsocket gems (retains gems)	1			100					2	"armo,sock"	key						"useitem,rem"	90				100																																																																																				0
key + socketed weapon -> unsocket gems (retains gems)	1			100					2	"weap,sock"	key						"useitem,rem"	90				100																																																																																				0
socketing skull + any equipment -> add max amount of sockets	1			100					2	"any,nos"	skz						"useitem,sock=8"																																																																																									0
diamond sharpening stone + ethereal armor -> repair	1			100					2	"armo,eth"	gpw						"useitem,rep,qty=255"					100																																																																																				0
diamond sharpening stone + ethereal weapon -> repair	1			100					2	"weap,eth"	gpw						"useitem,rep,qty=255"					100																																																																																				0
diamond sharpening stone + normal armor -> superior armor	1			100					2	"armo,nor,noe"	gpw						"usetype,hiq"				100																																																																																					0
diamond sharpening stone + normal weapon -> superior weapon	1			100					2	"weap,nor,noe"	gpw						"usetype,hiq"				100																																																																																					0
diamond sharpening stone + basic equipment -> exceptional equipment	1			100					2	"any,bas,hiq"	gpw						"useitem,mod,exc"				100																																																																																					0
diamond sharpening stone + exceptional equipment -> elite equipment	1			100					2	"any,exc,hiq"	gpw						"useitem,mod,eli"				100																																																																																					0
gold upgrade stone + normal armor -> magic item (of the same type)	1			100					2	"armo,nor"	gpy						"usetype,mag"				100																																																																																					0
gold upgrade stone + normal weapon -> magic item (of the same type)	1			100					2	"weap,nor"	gpy						"usetype,mag"				100																																																																																					0
gold upgrade stone + superior item -> rare item (of the same type)	1			100					2	"any,hiq"	gpy						"usetype,rar"				100																																																																																					0
gold upgrade stone + magic item -> set item (of the same type)	1			100					2	"any,mag"	gpy						"usetype,set"				100																																																																																					0
gold upgrade stone + rare item -> unique item (of the same type)	1			100					2	"any,rar"	gpy						"usetype,uni"				100																																																																																					0
2 amulets -> roll unique amulet	1			100					2	"amu,qty=2"							"amu,uni"				100																																																																																					0
2 rings -> roll unique ring	1			100					2	"rin,qty=2"							"rin,uni"				100																																																																																					0
2 jewels -> roll unique jewel	1			100					2	"jew,qty=2"							"jew,uni"				100																																																																																					0
2 small charms -> roll unique charm	1			100					2	"scha,qty=2"							"scha,uni"				100																																																																																					0
–––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––																																																																																																										0
Pandemonium key	1			100	28				3	pk1	pk2	pk3					Pandemonium Portal																																																																																									0
Pandemonium Finale key	1			100	28				3	dhn	bey	mbr					Pandemonium Finale Portal																																																																																									0
Staff of Kings + Viper amulet -> Horadric Staff	1			0	28				2	msf	vip						hst																																																																																									0
Khalim Flail + Khalim Heart + Khalim Eye + Khalim Brain -> Super Khalim Flail	1			0	28				4	qf1	qhr	qey	qbr				qf2																																																																																									0
1 Wirt's leg + 1 town portal book -> portal to cow lvl	1			0	28				2	leg	tbk						Cow Portal																																																																																									0
1 gem of each type + 1 amulet -> prismatic amulet	1			0					7	"amu,mag"	gpv	gpy	gpb	gpg	gpr	gpw	"amu,mag,pre=331"			50																																																																																						0
