name	letter	transform	code	nummods	weaponMod1Code	weaponMod1Param	weaponMod1Min	weaponMod1Max	weaponMod2Code	weaponMod2Param	weaponMod2Min	weaponMod2Max	weaponMod3Code	weaponMod3Param	weaponMod3Min	weaponMod3Max	helmMod1Code	helmMod1Param	helmMod1Min	helmMod1Max	helmMod2Code	helmMod2Param	helmMod2Min	helmMod2Max	helmMod3Code	helmMod3Param	helmMod3Min	helmMod3Max	shieldMod1Code	shieldMod1Param	shieldMod1Min	shieldMod1Max	shieldMod2Code	shieldMod2Param	shieldMod2Min	shieldMod2Max	shieldMod3Code	shieldMod3Param	shieldMod3Min	shieldMod3Max
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
0	0	0																																						0
Expansion																																								
El Rune	El	18	r01	1	light		1	1	att		50	50					light		1	1	ac		15	15					light		1	1	ac		15	15				0
Eld Rune	Eld	18	r02	1	att-undead		50	50	dmg-undead		75	75					stamdrain		15	15									block		5	5								0
Tir Rune	Tir	18	r03	1	mana-kill		2	2									mana-kill		2	2									mana-kill		2	2								0
Nef Rune	Nef	18	r04	1	knock		1	1									ac-miss		30	30									ac-miss		30	30								0
Eth Rune	Eth	18	r05	1	reduce-ac		25	25									regen-mana		15	15									regen-mana		15	15								0
Ith Rune	Ith	18	r06	1	dmg-max		9	9									dmg-to-mana		15	15									dmg-to-mana		15	15								0
Tal Rune	Tal	18	r07	1	dmg-pois	125	154	154									res-pois		30	30									res-pois		35	35								0
Ral Rune	Ral	18	r08	1	dmg-fire		5	30									res-fire		30	30									res-fire		35	35								0
Ort Rune	Ort	18	r09	1	dmg-ltng		1	50									res-ltng		30	30									res-ltng		35	35								0
Thul Rune	Thul	18	r10	1	dmg-cold	75	3	14									res-cold		30	30									res-cold		35	35								0
Amn Rune	Amn	18	r11	1	lifesteal		7	7									thorns		14	14									thorns		14	14								0
Sol Rune	Sol	18	r12	1	dmg-min		9	9									red-dmg		7	7									red-dmg		7	7								0
Shael Rune	Shael	18	r13	1	swing2		20	20									balance2		20	20									block2		20	20								0
Dol Rune	Dol	18	r14	1	howl		32	32									regen		7	7									regen		7	7								0
Hel Rune	Hel	18	r15	1	ease		-20	-20									ease		-15	-15									ease		-15	-15								0
Io Rune	Io	18	r16	1	vit		10	10									vit		10	10									vit		10	10								0
Lum Rune	Lum	18	r17	1	enr		10	10									enr		10	10									enr		10	10								0
Ko Rune	Ko	18	r18	1	dex		10	10									dex		10	10									dex		10	10								0
Fal Rune	Fal	18	r19	1	str		10	10									str		10	10									str		10	10								0
Lem Rune	Lem	18	r20	1	gold%		0	0									gold%		0	0									gold%		0	0								0
Pul Rune	Pul	18	r21	1	att-demon		100	100	dmg-demon		75	75					ac%		30	30									ac%		30	30								0
Um Rune	Um	18	r22	1	openwounds		18	18									res-all		15	15									res-all		22	22								0
Mal Rune	Mal	18	r23	1	noheal		1	1									red-mag		7	7									red-mag		7	7								0
Ist Rune	Ist	18	r24	1	mag%		0	0									mag%		0	0									mag%		0	0								0
Gul Rune	Gul	18	r25	1	att%		20	20									res-pois-max		3	3									res-pois-max		3	3								0
Vex Rune	Vex	18	r26	1	manasteal		7	7									res-fire-max		3	3									res-fire-max		3	3								0
Ohm Rune	Ohm	18	r27	1	dmg%		50	50									res-cold-max		3	3									res-cold-max		3	3								0
Lo Rune	Lo	18	r28	1	deadly		20	20									res-ltng-max		3	3									res-ltng-max		3	3								0
Sur Rune	Sur	18	r29	1	stupidity		1	1									mana%		5	5									mana		50	50								0
Ber Rune	Ber	18	r30	1	crush		8	8									red-dmg%		8	8									red-dmg%		8	8								0
Jah Rune	Jah	18	r31	1	ignore-ac		1	1									hp%		5	5									hp		50	50								0
Cham Rune	Cham	18	r32	1	freeze		3	3									nofreeze		1	1									nofreeze		1	1								0
Zod Rune	Zod	18	r33	1	indestruct		1	1									indestruct		1	1									indestruct		1	1								0
