Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
																																						0	0	0
Sturdy	0	1	1	4		1				0	101	ac%		30	30											armo												0	0	0
Strong	0	1	1	9		1				0	101	ac%		40	40											armo												0	0	0
Glorious	0	1	1	19		1				0	101	ac%		50	50											armo												0	0	0
Blessed	0	1	1	25		1				0	101	ac%		65	65											armo												0	0	0
Saintly	0	1	1	31		1				0	101	ac%		80	80									1	dgld	armo												0	0	0
Holy	0	1	1	36		1				0	101	ac%		100	100									1	dgld	armo												0	0	0
Devious	0	1	1	7		1				0	103	red-mag	0	1	1									1	dblu	shld												0	0	0
Fortified	0	1	1	14		1				0	103	red-mag	0	2	2									1	dblu	shld												0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
Jagged	0	1	1	1		1				0	106	dmg%	0	20	20											weap												0	0	0
Deadly	0	1	1	5		1				0	106	dmg%	0	30	30											weap												0	0	0
Vicious	0	1	1	8		1				0	106	dmg%	0	40	40											weap												0	0	0
Brutal	0	1	1	14		1				0	106	dmg%	0	50	50											weap												0	0	0
Massive	0	1	1	20		1				0	106	dmg%	0	65	65									1	dgld	weap												0	0	0
Savage	0	1	1	26		1				0	106	dmg%	0	80	80									1	dgld	weap							staf	wand				0	0	0
Merciless	0	1	1	32		1				0	106	dmg%	0	100	100									1	dgld	weap							staf	wand				0	0	0
Vulpine	0	1	1	9		1				0	107	dmg-to-mana	0	10	10									1	cblu	shld	amul											0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
Bronze	0	1	1	1		1				0	111	att	0	20	20											weap	ring	glov	amul									0	0	0
Iron	0	1	1	4		1				0	111	att	0	40	40											weap	ring											0	0	0
Steel	0	1	1	8		1				0	111	att	0	60	60											weap	ring											0	0	0
Silver	0	1	1	12		1				0	111	att	0	80	80											weap	ring											0	0	0
																																						0	0	0
Gold	0	1	1	17		1				0	111	att	0	100	100									1	lgld	weap												0	0	0
Platinum	0	1	1	22		1				0	111	att	0	120	120									1	lgld	weap	ring											0	0	0
Meteoric	0	1	1	27		1				0	111	att	0	150	150									1	lgld	weap	ring						staf	wand				0	0	0
Sharp	0	1	1	5		1				0	112	att	0	20	20	dmg%	0	20	20							weap												0	0	0
Fine	0	1	1	9		1				0	112	att	0	40	40	dmg%	0	30	30							weap												0	0	0
Warrior's	0	1	1	15		1				0	112	att	0	60	60	dmg%	0	40	40							weap												0	0	0
Soldier's	0	1	1	21		1				0	112	att	0	80	80	dmg%	0	50	50							weap												0	0	0
Knight's	0	1	1	25		1				0	112	att	0	100	100	dmg%	0	65	65					1	dgld	weap												0	0	0
Lord's	0	1	1	30		1				0	112	att	0	120	120	dmg%	0	80	80					1	dgld	weap							staf	wand				0	0	0
King's	0	1	1	35		1				0	112	att	0	150	150	dmg%	0	100	100					1	dgld	weap							staf	wand				0	0	0
Howling	0	1	1	16		1				0	113	howl	0	128	128									1	oran	weap							miss					0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
Lizard's	0	1	1	3		1				0	118	mana	0	5	5											armo	ring	amul	rod				boot	glov				0	0	0
																																						0	0	0
Snake's	0	1	1	6		1				0	118	mana	0	10	10											shld	rod	belt	ring	amul								0	0	0
Serpent's	0	1	1	14		1				0	118	mana	0	20	20											shld	rod	belt	ring	amul								0	0	0
Serpent's	0	1	1	37		1				0	118	mana	0	20	20											tors	helm	boot	glov	mele			h2h	rod				0	0	0
Drake's	0	1	1	20		1				0	118	mana	0	30	30									1	cblu	rod	ring	amul	belt									0	0	0
Dragon's	0	1	1	24		1				0	118	mana	0	40	40									1	cblu	rod	ring	amul										0	0	0
Dragon's	0	1	1	52		1				0	118	mana	0	40	40									1	cblu	tors	helm	boot	glov									0	0	0
Wyrm's	0	1	1	30		1				0	118	mana	0	60	60									1	cblu	rod	ring	amul										0	0	0
																																						0	0	0
																																						0	0	0
Prismatic	0	1	1	27		1				0	120	res-all	0	25	25									1	lpur	amul												0	0	0
Prismatic	0	1	1	62		1				0	120	res-all	0	15	15									1	lpur	ring												0	0	0
Azure	0	1	1	5		1				0	121	res-cold	0	10	10											armo	rod	miss	ring	amul								0	0	0
Lapis	0	1	1	12		1				0	121	res-cold	0	20	20											armo	ring	amul	rod									0	0	0
Lapis	0	1	1	35		1				0	121	res-cold	0	20	20											weap	glov						rod					0	0	0
Cobalt	0	1	1	18		1				0	121	res-cold	0	30	30											armo	ring	amul	rod				glov					0	0	0
Cobalt	0	1	1	55		1				0	121	res-cold	0	30	30											weap	glov						rod					0	0	0
																																						0	0	0
Sapphire	0	1	1	25		1				0	121	res-cold	0	50	50									1	lblu	rod	boot	ring	amul	miss			scep					0	0	0
																																						0	0	0
																																						0	0	0
Crimson	0	1	1	5		1				0	122	res-fire	0	10	10											armo	rod	miss	ring	amul	amul							0	0	0
Burgundy	0	1	1	12		1				0	122	res-fire	0	20	20											armo	rod	ring	amul	amul								0	0	0
Burgundy	0	1	1	35		1				0	122	res-fire	0	20	20											weap							rod					0	0	0
Garnet	0	1	1	18		1				0	122	res-fire	0	30	30											armo	rod	ring	amul				glov					0	0	0
Garnet	0	1	1	55		1				0	122	res-fire	0	30	30											weap	glov						rod					0	0	0
																																						0	0	0
Ruby	0	1	1	25		1				0	122	res-fire	0	50	50									1	lred	wand	staf	boot	ring	amul								0	0	0
																																						0	0	0
																																						0	0	0
Ocher	0	1	1	5		1				0	123	res-ltng	0	10	10											armo	rod	ring	amul	miss								0	0	0
Tangerine	0	1	1	12		1				0	123	res-ltng	0	20	20											armo	ring	amul	rod									0	0	0
Tangerine	0	1	1	35		1				0	123	res-ltng	0	20	20											weap							rod					0	0	0
Coral	0	1	1	18		1				0	123	res-ltng	0	30	30											armo	ring	amul	rod				glov					0	0	0
Coral	0	1	1	55		1				0	123	res-ltng	0	30	30											weap	glov						rod					0	0	0
																																						0	0	0
Amber	0	1	1	25		1				0	123	res-ltng	0	50	50									1	lyel	armo	ring	amul	staf	wand			shld	glov				0	0	0
																																						0	0	0
																																						0	0	0
Beryl	0	1	1	5		1				0	124	res-pois	0	10	10											armo	ring	amul	scep	staf	miss							0	0	0
Jade	0	1	1	12		1				0	124	res-pois	0	20	20											armo	ring	amul	scep	staf								0	0	0
Jade	0	1	1	35		1				0	124	res-pois	0	20	20											weap	ring						staf	scep				0	0	0
Viridian	0	1	1	18		1				0	124	res-pois	0	30	30											tors	helm	shld	scep	staf	ring	amul						0	0	0
Viridian	0	1	1	55		1				0	124	res-pois	0	30	30											weap	boot	glov	belt				staf	scep				0	0	0
																																						0	0	0
Emerald	0	1	1	25		1				0	124	res-pois	0	50	50									1	lgrn	scep	ring	amul										0	0	0
																																						0	0	0
Fletcher's	0	1	1	30		1				0	125	ama	0	1	1											miss	amul											0	0	0
Archer's	0	1	1	40		1				0	125	ama	0	2	2									1	cgrn	miss												0	0	0
Archer's	0	1	1	90		1				0	125	ama	0	2	2									1	cgrn	amul												0	0	0
Monk's	0	1	1	30		1				0	126	pal	0	1	1											scep	amul											0	0	0
Priest's	0	1	1	40		1				0	126	pal	0	2	2									1	cgrn	scep												0	0	0
Priest's	0	1	1	90		1				0	126	pal	0	2	2									1	cgrn	amul												0	0	0
Summoner's	0	1	1	30		1				0	127	nec	0	1	1											wand	amul											0	0	0
Necromancer's	0	1	1	40		1				0	127	nec	0	2	2									1	cgrn	wand												0	0	0
Necromancer's	0	1	1	90		1				0	127	nec	0	2	2									1	cgrn	amul												0	0	0
