Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
skeleton1	0	skeleton1	skeleton2	0	Skeleton	skeleton1		skeleton	Skeleton		SK	1													17	23		15	15	1	1	36	67	skeleton	skeleton	10	11	11	10				100	100	100	0	0	0	75	80	85	75	75	75																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																						100	100	100	-80	-80	-80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2				0	0	0	0	100	100	170	100	100	100	300	100	100	300	0	0	0	100	100	170	100	100	100	300	100	100	300	0	0	0	100	100	170	100	100	100	300	100	100	300	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0				0	0			0	0			0	0																Fodder	Act 1 Champ A	Act 1 Unique A		Fodder	Act 1 (N) Champ A	Act 1 (N) Unique A		Fodder	Act 1 (H) Champ A	Act 1 (H) Unique A								0
skeleton2	1	skeleton1	skeleton3	1	Returned	skeleton2		skeleton	Skeleton		SK	1													3	5		8	8	1	6	38	69	skeleton	skeleton	10	11	11	10				100	100	100	0	0	0	80	85	90	25	25	25																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																						0	0	0	-35	-28	-18	33	0	0	0	0	100	33	0	0	0	0	100	33	0	0	0	0	100	2				15	15	15	10	210	290	170	170	90	170	190	90	170	190	0	0	0	170	230	200	170	80	160	240	80	160	250	0	0	0	170	230	200	170	80	160	240	80	160	250	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0				0	0			0	0			0	0																Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
skeleton3	2	skeleton1	skeleton4	2	BoneWarrior	skeleton3		skeleton	Skeleton		SK	1													3	6		8	8	1	7	39	85	skeleton	skeleton	10	11	11	10				100	100	100	0	0	0	85	90	95	50	50	50																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																						0	0	0	-35	-28	-18	33	0	0	0	110	75	33	0	0	0	110	75	33	0	0	0	110	75	2				20	20	20	10	220	290	170	170	90	200	190	90	200	190	0	0	0	170	230	200	170	80	160	240	80	160	250	0	0	0	170	230	200	170	80	160	240	80	160	250	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0				0	0			0	0			0	0																Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
skeleton4	3	skeleton1	skeleton5	3	BurningDead	skeleton4		skeleton	Skeleton		SK	1													3	6		10	10	1	13	43	74	skeleton	skeleton	10	11	11	10				100	100	100	0	0	0	90	95	99	66	66	66																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																						0	0	0	-35	-28	-18	33	0	100	0	0	75	33	0	100	0	0	75	33	0	100	0	0	75	2				25	25	25	10	230	310	170	170	100	170	190	80	170	190	0	0	0	170	230	200	170	80	160	240	80	160	250	0	0	0	170	230	200	170	80	140	220	80	160	250	0	0	0	A1	fire	50	70	110	0	50	60	100	0	50	60	100	0				0	0			0	0			0	0																Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
skeleton5	4	skeleton1	skeleton6	4	Horror	skeleton5		skeleton	Skeleton		SK	1													3	6		10	10	1	14	44	78	skeleton	skeleton	10	11	11	10				100	100	100	0	0	0	95	99	99	33	33	33																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																						0	0	0	-35	-28	-18	33	70	0	120	0	75	33	70	0	120	0	75	33	70	0	120	0	75	2				30	30	30	10	230	300	170	170	90	170	190	80	170	190	0	0	0	170	230	200	170	80	160	240	80	160	250	0	0	0	170	230	200	170	80	160	240	80	150	230	0	0	0	A2	ltng	60	80	120	0	60	60	90	0	60	60	90	0				0	0			0	0			0	0																Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
zombie1	5	zombie1	zombie2	0	Zombie	zombie1		zombie	Fetish		ZM	1													17	23		15	15	1	1	36	67	zombie	zombieunique	10	11	11	10				100	100	100	10	15	20				20	25	30																						1	1					1							1	1							1																										100	100	100	-80	-80	-80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2				0	0	0	0	100	100	170	100	100	100	300	100	100	300	0	0	0	100	100	170	100	100	100	300	100	100	300	0	0	0	100	100	170	100	100	100	300	100	100	300	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0				0	0			0	0			0	0																Fodder	Act 1 Champ A	Act 1 Unique A		Fodder	Act 1 (N) Champ A	Act 1 (N) Unique A		Fodder	Act 1 (H) Champ A	Act 1 (H) Unique A								0
zombie2	6	zombie1	zombie3	1	HungryDead	zombie2		zombie	Zombie		ZM	1													2	5		5	10	1	2	37	68	zombie	zombieunique	10	11	11	10				100	100	100	15	20	25				25	30	35																						1	1					1							1	1							1																										70	53	35	-35	-28	-18	50	0	0	110	0	75	50	0	0	110	0	75	50	0	0	110	0	75	2				5	5	5	10	240	410	170	220	80	170	200	170	210	200	0	0	0	240	330	160	210	100	210	210	120	220	220	0	0	0	240	330	160	210	100	210	210	120	220	220	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0				0	0			0	0			0	0																Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
zombie3	7	zombie1	zombie4	2	Ghoul	zombie3		zombie	Zombie		ZM	1													3	5		5	10	1	12	43	73	zombie	zombieunique	10	11	11	10				100	100	100	20	25	30				30	35	40																						1	1					1							1	1							1																										70	53	35	-35	-28	-18	50	0	100	0	0	75	50	0	100	0	0	75	50	0	100	0	0	75	2				15	15	15	10	260	430	170	220	110	220	190	190	250	190	0	0	0	240	330	160	210	100	210	210	120	220	220	0	0	0	240	330	160	210	100	210	210	120	220	220	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0				0	0			0	0			0	0																Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
zombie4	8	zombie1	zombie5	3	DrownedCarcass	zombie4		zombie	Zombie		ZM	1													3	6		6	12	1	22	50	80	zombie	zombieunique	10	11	11	10				100	100	100	30	30	30				35	40	45																						1	1					1							1	1							1																										70	53	35	-35	-28	-18	50	0	110	0	0	75	50	0	110	0	0	75	50	0	110	0	0	75	2				20	20	20	10	250	420	170	220	110	220	190	180	260	190	0	0	0	240	330	160	210	100	210	210	120	220	220	0	0	0	240	330	160	210	100	200	210	120	220	220	0	0	0	A1	cold	80	70	100	40	80	50	80	80	80	50	80	100				0	0			0	0			0	0																Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
zombie5	9	zombie1		4	PlagueBearer	zombie5		zombie	Zombie		ZM	1													4	6		6	12	1	17	46	77	zombie	zombieunique	10	11	11	10				100	100	100	25	30	30				40	45	50																						1	1					1							1	1							1																										70	53	35	-35	-28	-18	50	100	0	0	0	75	50	100	0	0	0	75	50	100	0	0	0	75	2				15	15	15	10	260	420	170	220	110	220	180	170	250	180	0	0	0	240	330	160	210	100	210	210	120	220	220	0	0	0	240	330	160	210	100	200	210	120	220	220	0	0	0	A1	pois	50	80	160	200	50	80	80	200	50	80	80	200				0	0			0	0			0	0																Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B								0
