npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	0	1024	1024	4	0	922	1024									2147483647	2147483647	2147483647
charsi	0	1024	1024	4	0	922	1024									2147483647	2147483647	2147483647
akara	0	1024	1024	4	0	922	1024									2147483647	2147483647	2147483647
lysander	0	1024	1024	9	0	922	1024									2147483647	2147483647	2147483647
drognan	0	1024	1024	9	0	922	1024									2147483647	2147483647	2147483647
elzix	0	1024	1024	9	0	922	1024									2147483647	2147483647	2147483647
fara	0	1024	1024	9	0	922	1024									2147483647	2147483647	2147483647
hratli	0	1024	1024	17	0	922	1024									2147483647	2147483647	2147483647
alkor	0	1024	1024	17	0	922	1024									2147483647	2147483647	2147483647
ormus	0	1024	1024	17	0	922	1024									2147483647	2147483647	2147483647
asheara	0	1024	1024	17	0	922	1024									2147483647	2147483647	2147483647
jamella	0	1024	1024	41	0	922	1024									2147483647	2147483647	2147483647
halbu	0	1024	1024	41	0	922	1024									2147483647	2147483647	2147483647
malah	0	2048	1024	41	0	922	1024	35	0	512	1024					2147483647	2147483647	2147483647
drehya	0	2048	1024	41	0	922	1024	35	0	512	1024					2147483647	2147483647	2147483647
larzuk	0	2048	1024	41	0	922	1024	35	0	512	1024					2147483647	2147483647	2147483647
nihlathak	0	2048	1024	41	0	922	1024	35	0	512	1024					2147483647	2147483647	2147483647
