index	set	item	*item	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	*eol
Civerb's Ward	Civerb's Vestments	lrg	Large Shield	1	11	11	lyel	lyel						5	110	1	ac		15	15	block		11	11																													mana		21	22					res-pois		25	26																													0
Civerb's Icon	Civerb's Vestments	amu	Amulet	1	9	9	lyel	lyel						5	90	2	regen-mana		40	40	regen		4	4																													res-cold		25	25					ac		25	25																													0
Civerb's Cudgel	Civerb's Vestments	gsc	Grand Scepter	1	15	15	lyel	lyel						5	150		att		75	75	dmg-max		17	23																													dmg/lvl	8																																							0
Hsarus' Iron Heel	Hsarus' Defense	mbt	Chain Boots	1	12	12	dred	dred						5	120	2	res-fire		25	25	move2		20	20																													att/lvl	20																																							0
Hsarus' Iron Fist	Hsarus' Defense	buc	Buckler	1	1	1	dred	dred						5	10	2	red-dmg		2	2	str		10	10																													ac/lvl	20																																							0
Hsarus' Iron Stay	Hsarus' Defense	mbl	Belt	1	12	12	dred	dred						5	120	2	res-cold		20	20	hp		20	20																													ac/lvl	20																																							0
Cleglaw's Tooth	Cleglaw's Brace	lsd	Long Sword	1	20	20	lred	lred						5	200	2	att%		30	30	deadly		50	50																													dmg/lvl	10																																							0
Cleglaw's Claw	Cleglaw's Brace	sml	Small Shield	1	5	5	lred	lred						5	50	2	ac		17	17	res-pois-len		75	75																													res-all		15	15																																					0
Cleglaw's Pincers	Cleglaw's Brace	mgl	Chain Gloves	1	12	12	lred	lred						5	120	2	knock		1	1	slow		18	18																													att/lvl	20																																							0
Iratha's Collar	Iratha's Finery	amu	Amulet	1	15	15	lgry	lgry						5	150	2	res-pois		30	30	res-pois-len		75	75																													res-all		15	15																																					0
Iratha's Cuff	Iratha's Finery	tgl	Light Gauntlets	1	20	20	lgry	lgry						5	200	2	res-cold		30	30	half-freeze		1	1																													swing2		20	20																																					0
Iratha's Coil	Iratha's Finery	crn	Crown	1	29	29	lgry	lgry						5	290	2	res-fire		30	30	res-ltng		30	30																													ac/lvl	16																																							0
Iratha's Cord	Iratha's Finery	tbl	Heavy Belt	1	20	20	lgry	lgry						5	200	2	ac		25	25	dmg-min		5	5																													dex		10	10																																					0
Isenhart's Lightbrand	Isenhart's Armory	bsd	Broad Sword	1	15	15	lgld	lgld						5	150	2	dmg-min		10	10	swing2		20	20																													att/lvl	10																																							0
Isenhart's Parry	Isenhart's Armory	gts	Gothic Shield	1	30	30	lgld	lgld						5	300	2	ac		40	40	light-thorns		4	4																													res-all		8	8																																					0
Isenhart's Case	Isenhart's Armory	brs	Breast Plate	1	18	18	lgld	lgld						5	180	2	ac		40	40	red-mag		2	2																													ac/lvl	16																																							0
Isenhart's Horns	Isenhart's Armory	fhl	Full Helm	1	15	15	lgld	lgld						5	150	2	dex		6	6	red-dmg		2	2																													res-all		8	8																																					0
Vidala's Barb	Vidala's Rig	lbb	Long Battle Bow	1	23	23	blac	blac						5	230	2	ltng-min		1	1	ltng-max		20	20																													att/lvl	16																																							0
Vidala's Fetlock	Vidala's Rig	tbt	Light Plated Boots	1	20	20	blac	blac						5	200	2	stam		150	150	move3		30	30																													res-all		8	8																																					0
Vidala's Ambush	Vidala's Rig	lea	Leather Armor	1	3	3	blac	blac						5	30	2	ac		50	50	dex		11	11																													res-fire		24	24					ac/lvl	20																															0
Vidala's Snare	Vidala's Rig	amu	Amulet	1	14	14	blac	blac						5	140	2	hp		15	15	res-cold		20	20																													mag%		0	0																																					0
Milabrega's Orb	Milabrega's Regalia	kit	Kite Shield	1	15	15	dblu	dblu						5	150	2	mag%		0	0	ac		25	25																													hp		50	50					ac%		50	50																													0
Milabrega's Rod	Milabrega's Regalia	wsp	War Scepter	1	21	21	dblu	dblu						5	210		pal		1	1	dmg%		50	50	light		2	2																																																																	0
Milabrega's Diadem	Milabrega's Regalia	crn	Crown	1	29	29	dblu	dblu						5	290	2	hp		15	15	mana		15	15																													res-cold		40	40																																					0
Milabrega's Robe	Milabrega's Regalia	aar	Ancient Armor	1	40	40	dblu	dblu						5	400	2	thorns		3	3	red-dmg		2	2																													ac%		100	100																																					0
Cathan's Rule	Cathan's Traps	bst	Battle Staff	1	17	17	dgrn	dgrn						5	170	2	fireskill		1	1	fire-max		10	10																													mana		50	50					res-all		10	10																													0
Cathan's Mesh	Cathan's Traps	chn	Chain Mail	1	15	15	dgrn	dgrn						5	150	2	ac		15	15	ease		-50	-50																													thorns		5	5					res-fire		30	30																													0
Cathan's Visage	Cathan's Traps	msk	Mask	1	19	19	dgrn	dgrn						5	190	2	mana		20	20	res-cold		25	25																													ac/lvl	16																																							0
Cathan's Sigil	Cathan's Traps	amu	Amulet	1	11	11	dgrn	dgrn						5	110	2	balance1		10	10	light-thorns		5	5																													att		50	50					mag%		0	0																													0
Cathan's Seal	Cathan's Traps	rin	Ring	1	11	11	dgrn	dgrn						5	110	2	lifesteal		6	6	red-dmg		2	2																													str		10	10																																					0
Tancred's Crowbill	Tancred's Battlegear	mpi	Military Pick	1	19	19	dgld	dgld						5	190	2	att		75	75	dmg%		80	80																													mana		20	20					swing2		20	20																													0
Tancred's Spine	Tancred's Battlegear	ful	Full Plate Mail	1	37	37	dgld	dgld						5	370	2	hp		40	40	str		15	15																													ac/lvl	16																																							0
Tancred's Hobnails	Tancred's Battlegear	lbt	Boots	1	3	3	dgld	dgld						5	30	2	regen-stam		25	25	dex		10	10																													move3		30	30					str		10	10																													0
Tancred's Weird	Tancred's Battlegear	amu	Amulet	1	20	20	dgld	dgld						5	200	2	red-dmg		2	2	red-mag		1	1																													mag%		0	0					att		60	60																													0
Tancred's Skull	Tancred's Battlegear	bhm	Bone Helm	1	22	22	dgld	dgld						5	220	2	dmg%		10	10	att		40	40																													res-all		10	10																																					0
Sigon's Gage	Sigon's Complete Steel	hgl	Gauntlets	1	27	27	whit	whit						5	270	2	str		10	10	att		20	20																													swing3		30	30																																					0
Sigon's Visor	Sigon's Complete Steel	ghm	Great Helm	1	23	23	whit	whit						5	230	2	mana		30	30	ac		25	25																													att/lvl	16																																							0
Sigon's Shelter	Sigon's Complete Steel	gth	Gothic Plate	1	32	32	whit	whit						5	320	2	ac%		25	25	res-ltng		30	30																													thorns		20	20																																					0
Sigon's Sabot	Sigon's Complete Steel	hbt	Greaves	1	27	27	whit	whit						5	270	2	move2		20	20	res-cold		40	40																													att		50	50					mag%		0	0																													0
Sigon's Wrap	Sigon's Complete Steel	hbl	Plated Belt	1	27	27	whit	whit						5	270	2	res-fire		20	20	hp		20	20																													ac/lvl	16																																							0
Sigon's Guard	Sigon's Complete Steel	tow	Tower Shield	1	22	22	whit	whit						5	220	2	allskills		1	1	block		14	14																																																																					0
Infernal Cranium	Infernal Tools	cap	Cap	1	1	1	lyel	lyel						5	10	2	res-all		10	10	dmg-to-mana		20	20																													ac/lvl	16																																							0
Infernal Torch	Infernal Tools	gwn	Grim Wand	1	26	26	lyel	lyel						5	260	2	dmg-min		8	8	nec		1	1																													att/lvl	20																																							0
Infernal Sign	Infernal Tools	tbl	Heavy Belt	1	20	20	lyel	lyel						5	200	2	ac		25	25	hp		20	20																													res-pois		25	25					half-freeze		1	1																													0
Berserker's Headgear	Berserker's Garb	hlm	Helm	1	11	11	dred	dred						5	110	2	ac		15	15	res-fire		25	25																													att/lvl	16																																							0
Berserker's Hauberk	Berserker's Garb	spl	Splint Mail	1	20	20	dred	dred						5	200	2	red-mag		2	2	bar		1	1																													ac/lvl	24																																							0
Berserker's Hatchet	Berserker's Garb	2ax	Double Axe	1	13	13	dred	dred						5	130	2	att%		30	30	manasteal		5	5																													dmg%		50	50																																					0
Death's Hand	Death's Disguise	lgl	Leather Gloves	1	3	3	lred	lred						5	30	2	res-pois		50	50	res-pois-len		75	75																													swing3		30	30																																					0
Death's Guard	Death's Disguise	lbl	Sash	1	3	3	lred	lred						5	30	2	ac		20	20	nofreeze		1	1																													res-all		15	15																																					0
Death's Touch	Death's Disguise	wsd	War Sword	1	27	27	lred	lred						5	270	2	dmg%		25	25	lifesteal		4	4																													dmg-cold	75	25	75																																					0
Angelic Sickle	Angelical Raiment	sbr	Sabre	1	8	8	lgry	lgry						5	80	2	att		75	75	dmg-undead		250	250																													dmg%		75	75					swing3		30	30																													0
Angelic Mantle	Angelical Raiment	rng	Ring Mail	1	11	11	lgry	lgry						5	110	2	red-dmg		3	3	ac%		40	40																													ac		150	150					res-fire		50	50																													0
Angelic Halo	Angelical Raiment	rin	Ring	1	12	12	lgry	lgry						5	120	2	regen		6	6	hp		20	20																													att/lvl	24							mag%		0	0																													0
Angelic Wings	Angelical Raiment	amu	Amulet	1	12	12	lgry	lgry						5	120	2	light		3	3	dmg-to-mana		20	20																													hp		75	75					allskills		1	1																													0
Arctic Horn	Arctic Gear	swb	Short War Bow	1	27	27	lgld	lgld						5	270	2	att%		20	20	dmg%		50	50																													att/lvl	16							dmg-cold	75	20	30																													0
Arctic Furs	Arctic Gear	qui	Quilted Armor	1	1	1	lgld	lgld						5	10	2	ac%		275	325	res-all		10	10																													ac/lvl	24							res-cold		15	15																													0
Arctic Binding	Arctic Gear	vbl	Light Belt	1	7	7	lgld	lgld						5	70	2	res-cold		40	40	ac		30	30																													mag%		0	0					res-cold		10	10																													0
Arctic Mitts	Arctic Gear	tgl	Light Gauntlets	1	20	20	lgld	lgld						5	200	2	hp		20	20	swing1		10	10																													att		50	50					dex		10	10																													0
Arcanna's Sign	Arcanna's Tricks	amu	Amulet	1	15	15	blac	blac						5	150	2	mana		15	15	regen-mana		20	20																													mag%		0	0					res-fire		20	20																													0
Arcanna's Deathwand	Arcanna's Tricks	wst	War Staff	1	24	24	blac	blac						5	240	2	sor		1	1	deadly		25	25																													mana		50	50					regen-mana		5	5																													0
Arcanna's Head	Arcanna's Tricks	skp	Skull Cap	1	5	5	blac	blac						5	50	2	regen		4	4	thorns		2	2																													ac/lvl	24							res-ltng		15	15																													0
Arcanna's Flesh	Arcanna's Tricks	ltp	Light Plate	1	35	35	blac	blac						5	350	2	light		2	2	red-dmg		3	3																													ac		100	100					enr		10	10																													0
Expansion																																																																																													0
Natalya's Totem	Natalya's Odium	xh9	Grim Helm	1	50	50	dgry	dgry						5	500		ac		135	175	dex		20	30	str		10	20	res-all		10	20	red-mag		3	3																																																									0
Natalya's Mark	Natalya's Odium	7qr	Scissors Suwayyah	1	85	85	dgry	dgry						5	850		swing3		40	40	dmg%		200	200	ignore-ac		1	1	dmg-cold	100	50	50	dmg-fire		12	17	dmg-undead		200	200	dmg-demon		200	200																																																	0
Natalya's Shadow	Natalya's Odium	ucl	Loricated Mail	1	73	73	dgry	dgry						5	730		ac		150	225	hp/lvl	8			skilltab	19	2	2	res-pois-len		75	75	res-pois		25	25	sock		1	3																																																					0
Natalya's Soul	Natalya's Odium	xmb	Mesh Boots	1	43	43	dgry	dgry						5	430		ac		75	125	move3		40	40	regen-stam/lvl	2			dur		50	50	res-cold		15	25	res-ltng		15	25																																																					0
Aldur's Stony Gaze	Aldur's Watchtower	dr8	Hunter's Guise	1	46	46	oran	oran						5	460	2	ac		90	90	regen-mana		17	17	light		5	5	balance3		25	25	res-cold		40	50	sock		2	2													enr		15	15					enr		15	15					enr		15	15																					0
Aldur's Deception	Aldur's Watchtower	uul	Shadow Plate	1	83	83	oran	oran						5	830	2	ac		300	300	skilltab	16	1	1	str		20	20	dex		15	15	res-ltng		40	50	ease		-50	-50	skilltab	17	1	1									vit		15	15					vit		15	15					vit		15	15																					0
Aldur's Gauntlet	Aldur's Watchtower	9mt	Jagged Star	1	39	39	oran	oran						5	390	2	dmg-norm		40	62	dmg-ltng		50	75	lifesteal		10	10	swing3		30	30	dmg-demon		200	200	manasteal		5	5	sock		2	5									str		15	15					str		15	15					str		15	15																					0
Aldur's Advance	Aldur's Watchtower	xtb	Battle Boots	1	49	49	oran	oran						5	490	2	indestruct		1	1	regen-stam		32	32	hp		50	50	dmg-to-mana		10	10	move3		40	40	stam		180	180	res-fire		40	50									dex		15	15					dex		15	15					dex		15	15																					0
Immortal King's Will	Immortal King	ba5	Avenger Guard	1	24	24	lgry	lgry						5	240		ac		125	125	gold%		0	0	skilltab	14	2	2	light		4	4	mag%		0	0	sock		2	2																																																					0
Immortal King's Soul Cage 	Immortal King	uar	Sacred Armor	1	85	85	lgry	lgry						5	850	2	ac		400	400	gethit-skill	52	5	5	skilltab	12	2	2	res-pois		50	50																					balance2		25	25					res-cold		40	40					res-fire		40	40					res-ltng		40	40					ac%		50	50					0
Immortal King's Detail	Immortal King	zhb	War Belt	1	54	54	lgry	lgry						5	540	2	ac		36	36	res-fire		28	28	res-ltng		31	31	str		25	25																					ac		105	105					balance2		25	25					ac%		100	100					red-dmg%		20	20					skilltab	13	2	2					0
Immortal King's Forge	Immortal King	xhg	War Gauntlets	1	54	54	lgry	lgry						5	540	2	ac		65	65	str		20	20	dex		20	20	gethit-skill	38	12	4																					swing2		25	25					ac		120	120					lifesteal		10	10					manasteal		10	10					freeze		2	2					0
Immortal King's Pillar	Immortal King	xhb	War Boots	1	54	54	lgry	lgry						5	540	2	ac		75	75	move3		40	40	att		110	110	hp		44	44																					mag%		0	0					skilltab	12	2	2					ac		160	160					half-freeze		1	1													0
Immortal King's Stone Crusher	Immortal King	7m7	Ogre Maul	1	69	69	lgry	lgry						5	690	2	indestruct		1	1	swing3		40	40	dmg-demon		200	200	dmg-undead		200	200	crush		14	16	dmg%		200	200	sock		2	2									dmg-fire		211	397					dmg-ltng		7	477					dmg-cold	150	127	364					dmg-pois	150	349	349					dmg-mag		250	361					0
Tal Rasha's Fire-Spun Cloth	Tal Rasha's Wrappings	zmb	Mesh Belt	1	43	43	dpur	dpur						5	430	2	ease		-20	-20	mana		30	30	dex		20	20	dmg-to-mana		37	37	mag%		0	0																	ac		60	60					cast2		10	10																													0
Tal Rasha's Adjudication	Tal Rasha's Wrappings	amu	Amulet	1	67	67	dpur	dpur						5	670	2	res-ltng		33	33	sor		2	2	hp		50	50	dmg-ltng		3	32	mana		42	42																																	cast2		10	10																					0
Tal Rasha's Lidless Eye	Tal Rasha's Wrappings	oba	Swirling Crystal	1	50	50	dpur	dpur						5	500	2	hp		57	57	mana		77	77	enr		10	10	cast3		20	20	skill	Fire Mastery	1	2	skill	Lightning Mastery	1	2	skill	Cold Mastery	1	2									sor		1	1					pierce-fire		15	15					pierce-ltng		15	15					extra-cold		15	15													0
