Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Gold			1						gld	1																						0
Jewelry			1						rin	10	amu	5	jew	20	cm1	20	elx	2	vps	2	hrb	2										0
Gem			1						gpv	5	gpb	5	gpg	5	gpr	5	gpw	10	gpy	20	skz	20										0
Runes 1			1						r01	5	r02	5																				0
Runes 2			1						r03	5	r04	5	Runes 1	8																		0
Runes 3			1						r05	5	r06	5	Runes 2	18																		0
Runes 4			1						r07	5	r08	5	Runes 3	24																		0
Runes 5			1						r09	5	r10	5	Runes 4	30																		0
Runes 6			1						r11	5	r12	5	Runes 5	36																		0
Runes 7			1						r13	5	r14	5	Runes 6	50																		0
Runes 8			1						r15	5	r16	5	Runes 7	60																		0
Runes 9			1						r17	5	r18	5	Runes 8	70																		0
Runes 10			1						r19	5	r20	5	Runes 9	80																		0
Runes 11			1						r21	5	r22	5	Runes 10	90																		0
Runes 12			1						r23	5	r24	5	Runes 11	100																		0
Runes 13			1						r25	5	r26	5	Runes 12	110																		0
Runes 14			1						r27	5	r28	5	Runes 13	120																		0
Runes 15			1						r29	5	r30	5	Runes 14	130																		0
Runes 16			1						r31	5	r32	5	Runes 15	140																		0
Runes 17			1						r33	1	Runes 16	20																				0
GoldSwim2			6						gld,mul=5120	1																						
GoldSwim			2						GoldSwim2	1																						0
Fodder			1					776	GoldSwim	1																						0
Pimps			1					40	gld,mul=2560	9	rvs	1																				0
Act 1 Good	1	0	6	1024	1024	1024	1024	24	Jewelry	3	Gem	3																				0
Act 2 Good	1	12	6	1024	1024	1024	1024	24	Jewelry	2	Gem	2	Runes 1	1	Runes 2	1																0
Act 3 Good	1	18	6	1024	1024	1024	1024	24	Jewelry	2	Gem	2	Runes 3	1	Runes 4	1																0
Act 4 Good	1	26	6	1024	1024	1024	1024	24	Jewelry	2	Gem	2	Runes 5	1	Runes 6	1																0
Act 5 Good	1	32	6	1024	1024	1024	1024	24	Jewelry	2	Gem	2	Runes 7	2																		0
Act 1 (N) Good	1	38	6	1024	1024	1024	1024	24	Jewelry	2	Gem	2	Runes 8	2																		0
Act 2 (N) Good	1	42	6	1024	1024	1024	1024	24	Jewelry	2	Gem	2	Runes 9	2																		0
Act 3 (N) Good	1	46	6	1024	1024	1024	1024	24	Jewelry	2	Gem	2	Runes 10	2																		0
Act 4 (N) Good	1	51	6	1024	1024	1024	1024	24	Jewelry	2	Gem	2	Runes 11	2																		0
Act 5 (N) Good	1	57	6	1024	1024	1024	1024	24	Jewelry	2	Gem	2	Runes 12	2																		0
Act 1 (H) Good	1	66	6	1024	1024	1024	1024	24	Jewelry	2	Gem	2	Runes 13	2																		0
Act 2 (H) Good	1	72	6	1024	1024	1024	1024	24	Jewelry	2	Gem	2	Runes 14	2																		0
Act 3 (H) Good	1	78	6	1024	1024	1024	1024	24	Jewelry	2	Gem	2	Runes 15	2																		0
Act 4 (H) Good	1	82	6	1024	1024	1024	1024	24	Jewelry	2	Gem	2	Runes 16	2																		0
Act 5 (H) Good	1	85	6	1024	1024	1024	1024	24	Jewelry	2	Gem	2	Runes 17	2																		0
Equip 0	2	0	1	1024	1024	1024	1024		armo3	8	weap3	8																				0
Equip 5	2	5	1	1024	1024	1024	1024		armo6	10	weap6	10	Act 1 Equip A	15																		0
Equip 9	2	9	1	1024	1024	1024	1024		armo9	12	weap9	18	Act 1 Equip B	30																		0
Equip 12	2	12	1	1024	1024	1024	1024		armo12	14	weap12	21	Act 1 Equip C	45																		0
Equip 15	2	15	1	1024	1024	1024	1024		armo15	16	weap15	24	Act 2 Equip A	60																		0
Equip 18	2	18	1	1024	1024	1024	1024		armo18	18	weap18	27	Act 2 Equip B	75																		0
Equip 20	2	20	1	1024	1024	1024	1024		armo21	20	weap21	30	Act 2 Equip C	90																		0
Equip 22	2	22	1	1024	1024	1024	1024		armo24	22	weap24	33	Act 3 Equip A	105																		0
Equip 24	2	24	1	1024	1024	1024	1024		armo27	24	weap27	36	Act 3 Equip B	120																		0
Equip 26	2	26	1	1024	1024	1024	1024		armo30	26	weap30	39	Act 3 Equip C	135																		0
Equip 29	2	29	1	1024	1024	1024	1024		armo33	28	weap33	42	Act 4 Equip A	150																		0
Equip 32	2	32	1	1024	1024	1024	1024		armo33	28	weap33	42	Act 4 Equip A	150																		0
Equip 34	2	34	1	1024	1024	1024	1024		armo36	30	weap36	45	Act 5 Equip A	165																		0
Equip 36	2	36	1	1024	1024	1024	1024		armo36	30	weap36	45	Act 5 Equip A	165																		0
Equip 38	2	38	1	1024	1024	1024	1024		armo39	32	weap39	48	Act 5 Equip C	180																		0
Equip 40	2	40	1	1024	1024	1024	1024		armo39	32	weap39	48	Act 5 Equip C	180																		0
Equip 42	2	42	1	1024	1024	1024	1024		armo42	34	weap42	51	Act 1 (N) Equip B	195																		0
Equip 44	2	44	1	1024	1024	1024	1024		armo42	34	weap42	51	Act 1 (N) Equip B	195																		0
Equip 46	2	46	1	1024	1024	1024	1024		armo45	36	weap45	54	Act 2 (N) Equip A	210																		0
Equip 48	2	48	1	1024	1024	1024	1024		armo45	36	weap45	54	Act 2 (N) Equip A	210																		0
