name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
Ceremonial Spear	aspe		am8	am3	am8	100		1	1				1	34	51			15	4		80	50	101	80	56		43	27	1772	25259		302	spr	am3	am8	amd	2ht	2ht	5	2ht	2	4					flpam3	invam3			1	8	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Maiden Spear	aspe		am3	am3	am3	100		1	1				1	18	24			15	4		80	50	54	40	56		18	9	558	4160		302	spr	am3	am8	amd	2ht	2ht	5	2ht	2	4					flpam3	invam3			1	8	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1	1	2			1					1					1	1	2			1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Matriarchal Spear	aspe		amd	am3	amd	100		1	1				1	65	95			15	4		80	50	114	142	56		61	41	5416	102413		302	spr	am3	am8	amd	2ht	2ht	5	2ht	2	4					flpam3	invam3			1	8	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			5	8	0	xxx	xxx	1	0
Bardiche	pole		bar	hal	bar	0		1	1				1	1	27				2	10	100		40		100		5	0	100	651			hal	bar	9b7	7o7	stf	stf	5	2hsl	2	4					flpbar	invbar			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3	2	2			1	2	2			1					1					1					1					1					1					1					1	1	2			1					1					1					1					1					1					1					1			2	2	0	hal	wsc	1	0
Battle Scythe	pole		9s8	scy	9s8	0		1	1				1	18	45				1	-10	100		82	82	130		40	25	948	13626			scy	scy	9s8	7s8	stf	stf	5	2hsl	2	4					flpscy	invscy	inv9s8u	inv9s8u	1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
Bec-de-Corbin	pole		9h9	pax	9h9	0		1	1				1	13	85				4		100		133	91	110		51	33	2806	45732			hal	hal	9h9	7h7	stf	stf	5	2hsl	2	4					flphal	invhal			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
Bill	pole		9vo	hal	9vo	0		1	1				1	14	53				2		100		95		100		37	23	712	9992			pax	vou	9vo	7vo	stf	stf	5	2hsl	2	4					flpvou	invvou			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
Colossus Voulge	pole		7vo	hal	7vo	100		1	1				1	17	165			17	2	10	100		210	55	100		64	43	4274	85511			pax	vou	9vo	7vo	stf	stf	5	2hsl	2	4					flpvou	invvou			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
Cryptic Axe	pole		7pa	hal	7pa	100		1	1				1	33	150			17	3	10	100		165	103	130		79	54	5504	134621			pax	pax	9pa	7pa	stf	stf	5	2hsl	2	4					flppax	invpax			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
Giant Thresher	pole		7wc	scy	7wc	100		1	1				1	40	114			17	4	-10	100		188	140	110		85	59	5898	154882			scy	wsc	9wc	7wc	stf	stf	5	2hsl	2	4					flpwsc	invwsc			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1					1			2	2	0	xxx	xxx	1	0
