6|Magic Arrow|ama|1||12|-1|0|5||0|0|0|0|0|0|0|0|0|0|0|0||0|8
7|Fire Arrow|ama|1||24|1|1|5|fire|1|2|3|6|12|24|4|2|3|7|14|27|(skill('Exploding Arrow'.blvl)) * par8|12|8
8|Inner Sight|ama|1||10|0|1|7||40|25|45|60|80|100|0|0|0|0|0|0||0|8
9|Critical Strike|ama|1||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
10|Jab|ama|1||8|1|1|6||0|0|0|0|0|0|0|0|0|0|0|0||0|8
11|Cold Arrow|ama|6||28|1|1|5|cold|6|4|5|8|16|42|8|4|5|9|17|44|(skill('Ice Arrow'.blvl)) * par8|12|7
12|Multiple Shot|ama|6|Magic Arrow|4|1|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
13|Dodge|ama|6||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
14|Power Strike|ama|6|Jab|8|1|1|6|ltng|1|0|0|0|0|0|16|18|36|54|72|90|(skill('Lightning Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Charged Strike'.blvl)+skill('Lightning Fury'.blvl)) * par8|10|8
15|Poison Javelin|ama|6||16|1|1|6|pois|32|16|32|48|64|96|48|16|36|52|68|84|(skill('Plague Javelin'.blvl)) * par8|12|0
16|Exploding Arrow|ama|12|Fire Arrow|10|1|1|7|fire|2|5|7|9|12|20|6|5|8|11|14|23|(skill('Fire Arrow'.blvl)) * par8|12|8
17|Slow Missiles|ama|12|Inner Sight|10|0|1|7||0|0|0|0|0|0|0|0|0|0|0|0||0|8
18|Avoid|ama|12|Dodge|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
19|Impale|ama|12|Jab|3|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
20|Lightning Bolt|ama|12|Poison Javelin|24|1|1|6|ltng|1|0|0|0|0|0|40|12|18|28|48|88|(skill('Lightning Strike'.blvl)+skill('Power Strike'.blvl)+skill('Charged Strike'.blvl)+skill('Lightning Fury'.blvl)) * par8|3|8
21|Ice Arrow|ama|18|Cold Arrow|16|1|1|6|cold|6|6|12|18|26|36|10|6|13|19|27|38|(skill('Cold Arrow'.blvl))*par8|8|8
22|Guided Arrow|ama|18|Cold Arrow|32|-1|1|6||0|0|0|0|0|0|0|0|0|0|0|0||0|8
23|Penetrate|ama|18|Critical Strike|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8
