Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	99	99	99	99	99	99	99	5120
0	0	0	0	0	0	0	0	5120
1	100	100	100	100	100	100	100	5120
2	300	300	300	300	300	300	300	5120
3	750	750	750	750	750	750	750	5120
4	1575	1575	1575	1575	1575	1575	1575	5120
5	2835	2835	2835	2835	2835	2835	2835	5120
6	4536	4536	4536	4536	4536	4536	4536	5120
7	6577	6577	6577	6577	6577	6577	6577	5120
8	8879	8879	8879	8879	8879	8879	8879	5120
9	11543	11543	11543	11543	11543	11543	11543	5120
10	14428	14428	14428	14428	14428	14428	14428	5120
11	18036	18036	18036	18036	18036	18036	18036	5120
12	22545	22545	22545	22545	22545	22545	22545	5120
13	28181	28181	28181	28181	28181	28181	28181	5120
14	35226	35226	35226	35226	35226	35226	35226	5120
15	44033	44033	44033	44033	44033	44033	44033	5120
16	55041	55041	55041	55041	55041	55041	55041	5120
17	68801	68801	68801	68801	68801	68801	68801	5120
18	86002	86002	86002	86002	86002	86002	86002	5120
19	107502	107502	107502	107502	107502	107502	107502	5120
20	134378	134378	134378	134378	134378	134378	134378	5120
21	167972	167972	167972	167972	167972	167972	167972	5120
22	209966	209966	209966	209966	209966	209966	209966	5120
23	262457	262457	262457	262457	262457	262457	262457	5120
24	328071	328071	328071	328071	328071	328071	328071	5120
25	410089	410089	410089	410089	410089	410089	410089	5120
26	512612	512612	512612	512612	512612	512612	512612	5120
27	640765	640765	640765	640765	640765	640765	640765	5120
28	780452	780452	780452	780452	780452	780452	780452	5120
29	932710	932710	932710	932710	932710	932710	932710	5120
30	1098672	1098672	1098672	1098672	1098672	1098672	1098672	5120
31	1279571	1279571	1279571	1279571	1279571	1279571	1279571	5120
32	1476750	1476750	1476750	1476750	1476750	1476750	1476750	5120
33	1691675	1691675	1691675	1691675	1691675	1691675	1691675	5120
34	1925944	1925944	1925944	1925944	1925944	1925944	1925944	5120
35	2181297	2181297	2181297	2181297	2181297	2181297	2181297	5120
36	2459632	2459632	2459632	2459632	2459632	2459632	2459632	5120
37	2763017	2763017	2763017	2763017	2763017	2763017	2763017	5120
38	3093706	3093706	3093706	3093706	3093706	3093706	3093706	5120
39	3454158	3454158	3454158	3454158	3454158	3454158	3454158	5120
40	3847050	3847050	3847050	3847050	3847050	3847050	3847050	5120
41	4275303	4275303	4275303	4275303	4275303	4275303	4275303	5120
42	4742098	4742098	4742098	4742098	4742098	4742098	4742098	5120
43	5250905	5250905	5250905	5250905	5250905	5250905	5250905	5120
44	5805504	5805504	5805504	5805504	5805504	5805504	5805504	5120
