6|Magic Arrow|ama|1||12|-1|0|5||0|0|0|0|0|0|0|0|0|0|0|0||0|8|Creates a magical arrow or bolt that does extra damage.
7|Fire Arrow|ama|1||24|0|1|5|fire|1|2|3|6|12|24|4|2|3|7|14|27|Exploding Arrow:12|12|8|Enchants an arrow with the additional damage of fire.
8|Inner Sight|ama|1||10|0|1|7||40|25|45|60|80|100|0|0|0|0|0|0||0|8|Illuminates monsters and decreases their ability to defend themselves.
9|Critical Strike|ama|1||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8|Grants a chance to do double physical damage with your attacks.
10|Jab|ama|1||8|1|1|6||0|0|0|0|0|0|0|0|0|0|0|0||0|8|Multiple attacks within the time span of a normal attack, each jab a bit less powerful than the last up until level 6.
11|Cold Arrow|ama|6||28|1|1|5|cold|6|4|5|8|16|42|8|4|5|9|17|44|Ice Arrow:12|12|7|Enchants an arrow, adding cold damage and slowing your enemy.
12|Multiple Shot|ama|6|Magic Arrow|4|1|1|8||0|0|0|0|0|0|0|0|0|0|0|0|Guided Arrow:12|0|8|Splits one arrow into several.
13|Dodge|ama|6||0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||2|8|Grants a chance to move out of the way of a melee attack while standing still.
14|Power Strike|ama|6|Jab|8|1|1|6|ltng|1|0|0|0|0|0|16|18|36|54|72|90|Lightning Bolt:14;Charged Strike:14;Lightning Strike:14|14|8|Adds lightning damage and increases normal damage to thrusting attacks.
15|Poison Javelin|ama|6||16|1|1|6|pois|32|16|32|48|64|96|48|16|36|52|68|100|Plague Javelin:12|12|0|Thrown javelin causes poison damage and leaves a trail of poison clouds.
16|Exploding Arrow|ama|12|Fire Arrow|20|1|1|6|fire|5|6|12|14|16|20|13|7|13|15|18|23|Fire Arrow:14|14|8|Adds fire damage to normal arrows and explodes on impact.
17|Slow Missiles|ama|12|Inner Sight|10|0|1|7||0|0|0|0|0|0|0|0|0|0|0|0||40|8|Slows down all missile and spell projectiles cast by enemies.
18|Avoid|ama|12|Dodge|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||2|8|Grants a chance to move out of the way of a missile attack while standing still.
19|Impale|ama|12|Jab|3|0|1|8||0|0|0|0|0|0|0|0|0|0|0|0||75|8|A more powerful attack with an increased chance the weapon will lose durability.
20|Lightning Bolt|ama|12|Poison Javelin|24|1|1|6|ltng|1|0|0|0|0|0|40|12|18|28|48|88|Power Strike:3;Charged Strike:3;Lightning Strike:3;Lightning Fury:3|3|8|Leaves a trail of lightning and does lightning damage.
21|Ice Arrow|ama|18|Cold Arrow|16|1|1|6|cold|6|6|12|18|26|36|10|6|13|19|27|38|Cold Arrow:8|8|8|Arrows have additional cold damage and momentarily freeze the target.
22|Guided Arrow|ama|18|Cold Arrow|32|-1|1|6||0|0|0|0|0|0|0|0|0|0|0|0|Multiple Shot:12|12|8|Imbues an arrow with the ability to seek its nearest target.
23|Penetrate|ama|18|Critical Strike|0|0|0|8||0|0|0|0|0|0|0|0|0|0|0|0||0|8|Additional chance to hit.
